id	name	family	cls	px	sheet	cell
53	icon_module_p_mk2	module	flat-glyph	512x512	2	23
54	icon_module_p_std	module	flat-glyph	512x512	2	24
55	icon_module_s_heavy	module	flat-glyph	512x512	2	25
56	icon_module_s_ion	module	flat-glyph	512x512	2	26
57	icon_module_s_light	module	flat-glyph	512x512	2	27
58	icon_module_u_cargo	module	flat-glyph	512x512	2	28
59	icon_module_u_drones	module	flat-glyph	512x512	2	29
60	icon_module_u_holds	module	flat-glyph	512x512	2	30
61	icon_module_u_refine	module	flat-glyph	512x512	3	1
62	icon_module_u_salvage	module	flat-glyph	512x512	3	2
63	icon_module_u_tractor	module	flat-glyph	512x512	3	3
64	icon_module_w_mining	module	flat-glyph	512x512	3	4
65	icon_module_w_railgun	module	flat-glyph	512x512	3	5
66	icon_mineral_aluminium	mineral	flat-glyph	512x512	3	6
67	icon_mineral_cerulite	mineral	flat-glyph	512x512	3	7
68	icon_mineral_chromium	mineral	flat-glyph	512x512	3	8
69	icon_mineral_cobalt	mineral	flat-glyph	512x512	3	9
70	icon_mineral_copper	mineral	flat-glyph	512x512	3	10
71	icon_mineral_emberite	mineral	flat-glyph	512x512	3	11
72	icon_mineral_gold	mineral	flat-glyph	512x512	3	12
73	icon_mineral_iridium	mineral	flat-glyph	512x512	3	13
74	icon_mineral_iron	mineral	flat-glyph	512x512	3	14
75	icon_mineral_krilium	mineral	flat-glyph	512x512	3	15
76	icon_mineral_neodymium	mineral	flat-glyph	512x512	3	16
77	icon_mineral_nickel	mineral	flat-glyph	512x512	3	17
78	icon_mineral_osmium	mineral	flat-glyph	512x512	3	18
79	icon_mineral_palladium	mineral	flat-glyph	512x512	3	19
80	icon_mineral_platinum	mineral	flat-glyph	512x512	3	20
81	icon_mineral_silicon	mineral	flat-glyph	512x512	3	21
82	icon_mineral_silver	mineral	flat-glyph	512x512	3	22
83	icon_mineral_titanium	mineral	flat-glyph	512x512	3	23
84	icon_mineral_tungsten	mineral	flat-glyph	512x512	3	24
85	icon_mineral_voidglass	mineral	flat-glyph	512x512	3	25
86	icon_ingot_aluminium	ingot	flat-glyph	512x512	3	26
87	icon_ingot_cerulite	ingot	flat-glyph	512x512	3	27
88	icon_ingot_chromium	ingot	flat-glyph	512x512	3	28
89	icon_ingot_cobalt	ingot	flat-glyph	512x512	3	29
90	icon_ingot_copper	ingot	flat-glyph	512x512	3	30
91	icon_ingot_emberite	ingot	flat-glyph	512x512	4	1
92	icon_ingot_gold	ingot	flat-glyph	512x512	4	2
93	icon_ingot_iridium	ingot	flat-glyph	512x512	4	3
94	icon_ingot_iron	ingot	flat-glyph	512x512	4	4
95	icon_ingot_krilium	ingot	flat-glyph	512x512	4	5
96	icon_ingot_neodymium	ingot	flat-glyph	512x512	4	6
97	icon_ingot_nickel	ingot	flat-glyph	512x512	4	7
98	icon_ingot_osmium	ingot	flat-glyph	512x512	4	8
99	icon_ingot_palladium	ingot	flat-glyph	512x512	4	9
100	icon_ingot_platinum	ingot	flat-glyph	512x512	4	10
101	icon_ingot_silicon	ingot	flat-glyph	512x512	4	11
102	icon_ingot_silver	ingot	flat-glyph	512x512	4	12
103	icon_ingot_titanium	ingot	flat-glyph	512x512	4	13
104	icon_ingot_tungsten	ingot	flat-glyph	512x512	4	14
105	icon_ingot_voidglass	ingot	flat-glyph	512x512	4	15
106	icon_insignia_choir	insignia	flat-glyph	512x512	4	16
107	icon_insignia_concord	insignia	flat-glyph	512x512	4	17
108	icon_insignia_meridian	insignia	flat-glyph	512x512	4	18
109	icon_booster_damage	booster	painted	512x512	4	19
110	icon_booster_emp	booster	painted	512x512	4	20
111	icon_booster_repair	booster	painted	512x512	4	21
112	icon_booster_shield	booster	painted	512x512	4	22
113	icon_booster_speed	booster	painted	512x512	4	23
114	icon_booster_teleport	booster	painted	512x512	4	24
115	icon_equip_drone	equip	painted	512x512	4	25
116	icon_equip_engine	equip	painted	512x512	4	26
117	icon_equip_extra	equip	painted	512x512	4	27
118	icon_equip_generator	equip	painted	512x512	4	28
119	icon_equip_module	equip	painted	512x512	4	29
120	icon_equip_pet	equip	painted	512x512	4	30
121	icon_equip_shield_gen	equip	painted	512x512	5	1
122	icon_map_bookmark	map	painted	512x512	5	2
123	icon_map_node_asteroid	map	painted	512x512	5	3
124	icon_map_node_danger	map	painted	512x512	5	4
125	icon_map_node_gate	map	painted	512x512	5	5
126	icon_map_node_home	map	painted	512x512	5	6
127	icon_map_node_neutral	map	painted	512x512	5	7
128	icon_map_node_pvp	map	painted	512x512	5	8
129	icon_map_node_station	map	painted	512x512	5	9
130	icon_map_route	map	painted	512x512	5	10
131	icon_status_burning	status	painted	512x512	5	11
132	icon_status_cloaked	status	painted	512x512	5	12
133	icon_status_disabled	status	painted	512x512	5	13
134	icon_status_drained	status	painted	512x512	5	14
135	icon_status_locked	status	painted	512x512	5	15
136	icon_status_radiated	status	painted	512x512	5	16
137	icon_status_repairing	status	painted	512x512	5	17
138	icon_status_shielded	status	painted	512x512	5	18
139	icon_status_slowed	status	painted	512x512	5	19
140	icon_alt_angled_armor_plates	alt	alt-parked	512x512	5	20
141	icon_alt_angled_metal_block	alt	alt-parked	512x512	5	21
142	icon_alt_angled_pipe_weapon	alt	alt-parked	512x512	5	22
143	icon_alt_angled_side_enemy_ship	alt	alt-parked	884x884	5	23
144	icon_alt_arched_glowing_vent	alt	alt-parked	512x512	5	24
145	icon_alt_armored_node_panel	alt	alt-parked	512x512	5	25
146	icon_alt_arrow_direction_plaque	alt	alt-parked	512x512	5	26
147	icon_alt_barred_container_silhouette	alt	alt-parked	512x512	5	27
148	icon_alt_barred_rectangular_module	alt	alt-parked	512x512	5	28
149	icon_alt_battery_cells	alt	alt-parked	512x512	5	29
150	icon_alt_beveled_metal_ingot	alt	alt-parked	512x512	5	30
151	icon_alt_beveled_plate_dark_gray	alt	alt-parked	974x372	6	1
152	icon_alt_beveled_plate_plain_dark	alt	alt-parked	974x372	6	2
153	icon_alt_beveled_plate_rust_tinge	alt	alt-parked	974x372	6	3
154	icon_alt_broken_jagged_shard	alt	alt-parked	512x512	6	4
155	icon_alt_buckled_crate_module	alt	alt-parked	512x512	6	5
156	icon_alt_chevron_armor_plate	alt	alt-parked	512x512	6	6
157	icon_alt_chevron_engine_module	alt	alt-parked	512x512	6	7
158	icon_alt_chevron_marked_hatch	alt	alt-parked	512x512	6	8
159	icon_alt_chevron_striped_canister	alt	alt-parked	512x512	6	9
160	icon_alt_chevron_vent_block	alt	alt-parked	512x512	6	10
161	icon_alt_chunky_dark_rock	alt	alt-parked	512x512	6	11
162	icon_alt_circle_slash	alt	alt-parked	512x512	6	12
163	icon_alt_circular_ring_hatch	alt	alt-parked	512x512	6	13
164	icon_alt_claw_hook	alt	alt-parked	512x512	6	14
165	icon_alt_claw_ring_coupling	alt	alt-parked	512x512	6	15
166	icon_alt_clawed_cone_lamp	alt	alt-parked	512x512	6	16
167	icon_alt_cracked_glowing_rock	alt	alt-parked	512x512	6	17
168	icon_alt_crossed_frame	alt	alt-parked	512x512	6	18
169	icon_alt_crosshair_target_reticle	alt	alt-parked	512x512	6	19
170	icon_alt_crosshair_targeting_plaque	alt	alt-parked	512x512	6	20
171	icon_alt_crystal_cluster_rock	alt	alt-parked	512x512	6	21
172	icon_alt_cubic_rusty_block	alt	alt-parked	512x512	6	22
173	icon_alt_dark_jagged_boulder	alt	alt-parked	512x512	6	23
174	icon_alt_diamond_box_module	alt	alt-parked	512x512	6	24
175	icon_alt_dish_antenna_device	alt	alt-parked	512x512	6	25
176	icon_alt_dish_antenna_signal	alt	alt-parked	512x512	6	26
177	icon_alt_dome_arch_module	alt	alt-parked	512x512	6	27
178	icon_alt_double_arrow_marker	alt	alt-parked	512x512	6	28
179	icon_alt_double_barreled_cannon	alt	alt-parked	512x512	6	29
180	icon_alt_double_grooved_block	alt	alt-parked	512x512	6	30
181	icon_alt_double_ridged_bar	alt	alt-parked	512x512	7	1
182	icon_alt_double_window_panels	alt	alt-parked	512x512	7	2
183	icon_alt_double_winged_lamp	alt	alt-parked	512x512	7	3
184	icon_alt_drilled_metal_bar	alt	alt-parked	512x512	7	4
185	icon_alt_embedded_metal_rock	alt	alt-parked	512x512	7	5
186	icon_alt_exhaust_thruster_nozzle	alt	alt-parked	512x512	7	6
187	icon_alt_faceted_dark_crystal	alt	alt-parked	512x512	7	7
188	icon_alt_flame_emblem	alt	alt-parked	512x512	7	8
189	icon_alt_flared_tower_silhouette	alt	alt-parked	512x512	7	9
190	icon_alt_flat_angular_slab	alt	alt-parked	512x512	7	10
191	icon_alt_flat_plate_dark_gray	alt	alt-parked	974x372	7	11
192	icon_alt_flat_topped_rock	alt	alt-parked	512x512	7	12
193	icon_alt_front_view_enemy_ship	alt	alt-parked	884x884	7	13
194	icon_alt_glowing_arched_handle	alt	alt-parked	512x512	7	14
195	icon_alt_glowing_barrel_weapon	alt	alt-parked	512x512	7	15
196	icon_alt_glowing_coil_module	alt	alt-parked	512x512	7	16
197	icon_alt_glowing_vertical_core	alt	alt-parked	512x512	7	17
198	icon_alt_golden_porous_rock	alt	alt-parked	512x512	7	18
199	icon_alt_gripper_claw_device	alt	alt-parked	512x512	7	19
200	icon_alt_grooved_rounded_bar	alt	alt-parked	512x512	7	20
201	icon_alt_hangar_fighter_bay	alt	alt-parked	512x512	7	21
202	icon_alt_hangar_fighters	alt	alt-parked	512x512	7	22
203	icon_alt_hollow_metal_pipe	alt	alt-parked	512x512	7	23
204	icon_alt_hopper_funnel	alt	alt-parked	512x512	7	24
205	icon_alt_hopper_funnel_unit	alt	alt-parked	512x512	7	25
206	icon_alt_lattice_patterned_plate	alt	alt-parked	512x512	7	26
207	icon_alt_launching_pad	alt	alt-parked	512x512	7	27
208	icon_alt_layered_dark_stone	alt	alt-parked	512x512	7	28
209	icon_alt_missile_crosshair	alt	alt-parked	512x512	7	29
210	icon_alt_octagonal_armored_plate	alt	alt-parked	512x512	7	30
211	icon_alt_octagonal_bracket_frame	alt	alt-parked	512x512	8	1
212	icon_alt_octagonal_frame_hatch	alt	alt-parked	512x512	8	2
213	icon_alt_octagonal_ring_module	alt	alt-parked	512x512	8	3
214	icon_alt_open_clamp_module	alt	alt-parked	512x512	8	4
215	icon_alt_open_metal_crate	alt	alt-parked	512x512	8	5
216	icon_alt_orange_arc_gauge	alt	alt-parked	512x512	8	6
217	icon_alt_orange_lined_reactor	alt	alt-parked	512x512	8	7
218	icon_alt_orange_veined_rock	alt	alt-parked	512x512	8	8
219	icon_alt_part_4	alt	alt-parked	512x512	8	9
220	icon_alt_part_4_2	alt	alt-parked	512x512	8	10
221	icon_alt_part_6	alt	alt-parked	512x512	8	11
222	icon_alt_perforated_metal_block	alt	alt-parked	512x512	8	12
223	icon_alt_pointed_rocket_missile	alt	alt-parked	512x512	8	13
224	icon_alt_rear_view_enemy_ship	alt	alt-parked	884x884	8	14
225	icon_alt_ridged_rectangular_bar	alt	alt-parked	512x512	8	15
226	icon_alt_ringed_glowing_device	alt	alt-parked	512x512	8	16
227	icon_alt_riveted_side_panel	alt	alt-parked	512x512	8	17
228	icon_alt_robotic_arm	alt	alt-parked	512x512	8	18
229	icon_alt_robotic_claw_arm	alt	alt-parked	512x512	8	19
230	icon_alt_rock_with_gem	alt	alt-parked	512x512	8	20
231	icon_alt_rounded_metal_brick	alt	alt-parked	512x512	8	21
232	icon_alt_rusty_cone_lamp	alt	alt-parked	512x512	8	22
233	icon_alt_rusty_fractured_rock	alt	alt-parked	512x512	8	23
234	icon_alt_rusty_grooved_bar	alt	alt-parked	512x512	8	24
235	icon_alt_sensor_targeting_modules	alt	alt-parked	512x512	8	25
236	icon_alt_shield	alt	alt-parked	512x512	8	26
237	icon_alt_side_podded_module	alt	alt-parked	512x512	8	27
238	icon_alt_side_view_enemy_ship	alt	alt-parked	884x884	8	28
239	icon_alt_slotted_metal_block	alt	alt-parked	512x512	8	29
240	icon_alt_smooth_clear_shard	alt	alt-parked	512x512	8	30
241	icon_alt_spiked_metal_rock	alt	alt-parked	512x512	9	1
242	icon_alt_spiked_naval_mine	alt	alt-parked	512x512	9	2
243	icon_alt_spiky_mineral_formation	alt	alt-parked	512x512	9	3
244	icon_alt_split_end_bar	alt	alt-parked	512x512	9	4
245	icon_alt_square_circuit_block	alt	alt-parked	512x512	9	5
246	icon_alt_square_circuit_panel	alt	alt-parked	512x512	9	6
247	icon_alt_square_metal_plate	alt	alt-parked	512x512	9	7
248	icon_alt_square_notched_block	alt	alt-parked	512x512	9	8
249	icon_alt_stacked_flat_stones	alt	alt-parked	512x512	9	9
250	icon_alt_stacked_metal_plates	alt	alt-parked	512x512	9	10
251	icon_alt_stacked_plate_layers	alt	alt-parked	512x512	9	11
252	icon_alt_stepped_angled_bar	alt	alt-parked	512x512	9	12
253	icon_alt_stepped_metal_block	alt	alt-parked	512x512	9	13
254	icon_alt_striped_dark_mineral	alt	alt-parked	512x512	9	14
255	icon_alt_tapered_metal_wedge	alt	alt-parked	512x512	9	15
256	icon_alt_thick_arched_handle	alt	alt-parked	512x512	9	16
257	icon_alt_thin_arched_handle	alt	alt-parked	512x512	9	17
258	icon_alt_thin_sharp_shard	alt	alt-parked	512x512	9	18
259	icon_alt_three_horizontal_bars	alt	alt-parked	512x512	9	19
260	icon_alt_thruster_engine_block	alt	alt-parked	512x512	9	20
261	icon_alt_thruster_exhaust	alt	alt-parked	512x512	9	21
262	icon_alt_trapezoid_cup_module	alt	alt-parked	512x512	9	22
263	icon_alt_trapezoid_vent_panel	alt	alt-parked	512x512	9	23
264	icon_alt_u_channel_bar	alt	alt-parked	512x512	9	24
265	icon_alt_vault_door	alt	alt-parked	512x512	9	25
266	icon_alt_vented_power_block	alt	alt-parked	512x512	9	26
267	icon_alt_vented_trapezoid_thruster	alt	alt-parked	512x512	9	27
268	icon_alt_vertical_storage_containers	alt	alt-parked	512x512	9	28
269	icon_alt_winged_tower_emitter	alt	alt-parked	512x512	9	29
270	icon_alt_x_scored_block	alt	alt-parked	512x512	9	30
271	ui_insignia_mic	ui_insignia	ui-emblem	865x976	10	1
272	ui_insignia_mmo	ui_insignia	ui-emblem	865x976	10	2
273	ui_insignia_neutral	ui_insignia	ui-emblem	865x976	10	3
274	ui_insignia_ven	ui_insignia	ui-emblem	865x976	10	4
