id	name	family	cls	diff_px	marked
48	icon_module_e_vector	module	flat-glyph	0	
49	icon_module_h_composite	module	flat-glyph	0	
50	icon_module_h_plate_heavy	module	flat-glyph	0	
51	icon_module_h_plate_light	module	flat-glyph	0	
52	icon_module_p_core	module	flat-glyph	0	
53	icon_module_p_mk2	module	flat-glyph	0	
54	icon_module_p_std	module	flat-glyph	0	
55	icon_module_s_heavy	module	flat-glyph	0	
56	icon_module_s_ion	module	flat-glyph	0	
57	icon_module_s_light	module	flat-glyph	0	
58	icon_module_u_cargo	module	flat-glyph	0	
59	icon_module_u_drones	module	flat-glyph	0	
60	icon_module_u_holds	module	flat-glyph	0	
61	icon_module_u_refine	module	flat-glyph	0	
62	icon_module_u_salvage	module	flat-glyph	0	
63	icon_module_u_tractor	module	flat-glyph	0	
64	icon_module_w_mining	module	flat-glyph	0	
65	icon_module_w_railgun	module	flat-glyph	0	
66	icon_mineral_aluminium	mineral	flat-glyph	0	
67	icon_mineral_cerulite	mineral	flat-glyph	0	
68	icon_mineral_chromium	mineral	flat-glyph	0	
69	icon_mineral_cobalt	mineral	flat-glyph	0	
70	icon_mineral_copper	mineral	flat-glyph	0	
71	icon_mineral_emberite	mineral	flat-glyph	0	
72	icon_mineral_gold	mineral	flat-glyph	0	
73	icon_mineral_iridium	mineral	flat-glyph	0	
74	icon_mineral_iron	mineral	flat-glyph	0	
75	icon_mineral_krilium	mineral	flat-glyph	0	
76	icon_mineral_neodymium	mineral	flat-glyph	0	
77	icon_mineral_nickel	mineral	flat-glyph	0	
78	icon_mineral_osmium	mineral	flat-glyph	0	
79	icon_mineral_palladium	mineral	flat-glyph	0	
80	icon_mineral_platinum	mineral	flat-glyph	0	
81	icon_mineral_silicon	mineral	flat-glyph	0	
82	icon_mineral_silver	mineral	flat-glyph	0	
83	icon_mineral_titanium	mineral	flat-glyph	0	
84	icon_mineral_tungsten	mineral	flat-glyph	0	
85	icon_mineral_voidglass	mineral	flat-glyph	0	
86	icon_ingot_aluminium	ingot	flat-glyph	0	
87	icon_ingot_cerulite	ingot	flat-glyph	0	
88	icon_ingot_chromium	ingot	flat-glyph	0	
89	icon_ingot_cobalt	ingot	flat-glyph	0	
90	icon_ingot_copper	ingot	flat-glyph	0	
91	icon_ingot_emberite	ingot	flat-glyph	0	
92	icon_ingot_gold	ingot	flat-glyph	0	
93	icon_ingot_iridium	ingot	flat-glyph	0	
94	icon_ingot_iron	ingot	flat-glyph	0	
95	icon_ingot_krilium	ingot	flat-glyph	0	
96	icon_ingot_neodymium	ingot	flat-glyph	0	
97	icon_ingot_nickel	ingot	flat-glyph	0	
98	icon_ingot_osmium	ingot	flat-glyph	0	
99	icon_ingot_palladium	ingot	flat-glyph	0	
100	icon_ingot_platinum	ingot	flat-glyph	0	
101	icon_ingot_silicon	ingot	flat-glyph	0	
102	icon_ingot_silver	ingot	flat-glyph	0	
103	icon_ingot_titanium	ingot	flat-glyph	0	
104	icon_ingot_tungsten	ingot	flat-glyph	0	
105	icon_ingot_voidglass	ingot	flat-glyph	0	
106	icon_insignia_choir	insignia	flat-glyph	0	
107	icon_insignia_concord	insignia	flat-glyph	0	
108	icon_insignia_meridian	insignia	flat-glyph	0	
109	icon_booster_damage	booster	painted	0	
110	icon_booster_emp	booster	painted	0	
111	icon_booster_repair	booster	painted	0	
112	icon_booster_shield	booster	painted	0	
113	icon_booster_speed	booster	painted	0	
114	icon_booster_teleport	booster	painted	0	
115	icon_equip_drone	equip	painted	0	
116	icon_equip_engine	equip	painted	0	
117	icon_equip_extra	equip	painted	0	
118	icon_equip_generator	equip	painted	0	
119	icon_equip_module	equip	painted	0	
120	icon_equip_pet	equip	painted	0	
121	icon_equip_shield_gen	equip	painted	0	
122	icon_map_bookmark	map	painted	0	
123	icon_map_node_asteroid	map	painted	0	
124	icon_map_node_danger	map	painted	0	
125	icon_map_node_gate	map	painted	0	
126	icon_map_node_home	map	painted	0	
127	icon_map_node_neutral	map	painted	0	
128	icon_map_node_pvp	map	painted	0	
129	icon_map_node_station	map	painted	0	
130	icon_map_route	map	painted	0	
131	icon_status_burning	status	painted	0	
132	icon_status_cloaked	status	painted	0	
133	icon_status_disabled	status	painted	0	
134	icon_status_drained	status	painted	0	
135	icon_status_locked	status	painted	0	
136	icon_status_radiated	status	painted	0	
137	icon_status_repairing	status	painted	0	
138	icon_status_shielded	status	painted	0	
139	icon_status_slowed	status	painted	0	
140	icon_alt_angled_armor_plates	alt	alt-parked	0	
141	icon_alt_angled_metal_block	alt	alt-parked	0	
142	icon_alt_angled_pipe_weapon	alt	alt-parked	0	
143	icon_alt_angled_side_enemy_ship	alt	alt-parked	0	
144	icon_alt_arched_glowing_vent	alt	alt-parked	0	
145	icon_alt_armored_node_panel	alt	alt-parked	0	
146	icon_alt_arrow_direction_plaque	alt	alt-parked	0	
147	icon_alt_barred_container_silhouette	alt	alt-parked	0	
148	icon_alt_barred_rectangular_module	alt	alt-parked	0	
149	icon_alt_battery_cells	alt	alt-parked	0	
150	icon_alt_beveled_metal_ingot	alt	alt-parked	0	
151	icon_alt_beveled_plate_dark_gray	alt	alt-parked	0	
152	icon_alt_beveled_plate_plain_dark	alt	alt-parked	0	
153	icon_alt_beveled_plate_rust_tinge	alt	alt-parked	0	
154	icon_alt_broken_jagged_shard	alt	alt-parked	0	
155	icon_alt_buckled_crate_module	alt	alt-parked	0	
156	icon_alt_chevron_armor_plate	alt	alt-parked	0	
157	icon_alt_chevron_engine_module	alt	alt-parked	0	
158	icon_alt_chevron_marked_hatch	alt	alt-parked	0	
159	icon_alt_chevron_striped_canister	alt	alt-parked	0	
160	icon_alt_chevron_vent_block	alt	alt-parked	0	
161	icon_alt_chunky_dark_rock	alt	alt-parked	0	
162	icon_alt_circle_slash	alt	alt-parked	0	
163	icon_alt_circular_ring_hatch	alt	alt-parked	0	
164	icon_alt_claw_hook	alt	alt-parked	0	
165	icon_alt_claw_ring_coupling	alt	alt-parked	0	
166	icon_alt_clawed_cone_lamp	alt	alt-parked	0	
167	icon_alt_cracked_glowing_rock	alt	alt-parked	0	
168	icon_alt_crossed_frame	alt	alt-parked	0	
169	icon_alt_crosshair_target_reticle	alt	alt-parked	0	
170	icon_alt_crosshair_targeting_plaque	alt	alt-parked	0	
171	icon_alt_crystal_cluster_rock	alt	alt-parked	0	
172	icon_alt_cubic_rusty_block	alt	alt-parked	0	
173	icon_alt_dark_jagged_boulder	alt	alt-parked	0	
174	icon_alt_diamond_box_module	alt	alt-parked	0	
175	icon_alt_dish_antenna_device	alt	alt-parked	0	
176	icon_alt_dish_antenna_signal	alt	alt-parked	0	
177	icon_alt_dome_arch_module	alt	alt-parked	0	
178	icon_alt_double_arrow_marker	alt	alt-parked	0	
179	icon_alt_double_barreled_cannon	alt	alt-parked	0	
180	icon_alt_double_grooved_block	alt	alt-parked	0	
181	icon_alt_double_ridged_bar	alt	alt-parked	0	
182	icon_alt_double_window_panels	alt	alt-parked	0	
183	icon_alt_double_winged_lamp	alt	alt-parked	0	
184	icon_alt_drilled_metal_bar	alt	alt-parked	0	
185	icon_alt_embedded_metal_rock	alt	alt-parked	0	
186	icon_alt_exhaust_thruster_nozzle	alt	alt-parked	0	
187	icon_alt_faceted_dark_crystal	alt	alt-parked	0	
188	icon_alt_flame_emblem	alt	alt-parked	0	
189	icon_alt_flared_tower_silhouette	alt	alt-parked	0	
190	icon_alt_flat_angular_slab	alt	alt-parked	0	
191	icon_alt_flat_plate_dark_gray	alt	alt-parked	0	
192	icon_alt_flat_topped_rock	alt	alt-parked	0	
193	icon_alt_front_view_enemy_ship	alt	alt-parked	0	
194	icon_alt_glowing_arched_handle	alt	alt-parked	0	
195	icon_alt_glowing_barrel_weapon	alt	alt-parked	0	
196	icon_alt_glowing_coil_module	alt	alt-parked	0	
197	icon_alt_glowing_vertical_core	alt	alt-parked	0	
198	icon_alt_golden_porous_rock	alt	alt-parked	0	
199	icon_alt_gripper_claw_device	alt	alt-parked	0	
200	icon_alt_grooved_rounded_bar	alt	alt-parked	0	
201	icon_alt_hangar_fighter_bay	alt	alt-parked	0	
202	icon_alt_hangar_fighters	alt	alt-parked	0	
203	icon_alt_hollow_metal_pipe	alt	alt-parked	0	
204	icon_alt_hopper_funnel	alt	alt-parked	0	
205	icon_alt_hopper_funnel_unit	alt	alt-parked	0	
206	icon_alt_lattice_patterned_plate	alt	alt-parked	0	
207	icon_alt_launching_pad	alt	alt-parked	0	
208	icon_alt_layered_dark_stone	alt	alt-parked	0	
209	icon_alt_missile_crosshair	alt	alt-parked	0	
210	icon_alt_octagonal_armored_plate	alt	alt-parked	0	
211	icon_alt_octagonal_bracket_frame	alt	alt-parked	0	
212	icon_alt_octagonal_frame_hatch	alt	alt-parked	0	
213	icon_alt_octagonal_ring_module	alt	alt-parked	0	
214	icon_alt_open_clamp_module	alt	alt-parked	0	
215	icon_alt_open_metal_crate	alt	alt-parked	0	
216	icon_alt_orange_arc_gauge	alt	alt-parked	0	
217	icon_alt_orange_lined_reactor	alt	alt-parked	0	
218	icon_alt_orange_veined_rock	alt	alt-parked	0	
219	icon_alt_part_4	alt	alt-parked	0	
220	icon_alt_part_4_2	alt	alt-parked	0	
221	icon_alt_part_6	alt	alt-parked	0	
222	icon_alt_perforated_metal_block	alt	alt-parked	0	
223	icon_alt_pointed_rocket_missile	alt	alt-parked	0	
224	icon_alt_rear_view_enemy_ship	alt	alt-parked	0	
225	icon_alt_ridged_rectangular_bar	alt	alt-parked	0	
226	icon_alt_ringed_glowing_device	alt	alt-parked	0	
227	icon_alt_riveted_side_panel	alt	alt-parked	0	
228	icon_alt_robotic_arm	alt	alt-parked	0	
229	icon_alt_robotic_claw_arm	alt	alt-parked	0	
230	icon_alt_rock_with_gem	alt	alt-parked	0	
231	icon_alt_rounded_metal_brick	alt	alt-parked	0	
232	icon_alt_rusty_cone_lamp	alt	alt-parked	0	
233	icon_alt_rusty_fractured_rock	alt	alt-parked	0	
234	icon_alt_rusty_grooved_bar	alt	alt-parked	0	
235	icon_alt_sensor_targeting_modules	alt	alt-parked	0	
236	icon_alt_shield	alt	alt-parked	0	
237	icon_alt_side_podded_module	alt	alt-parked	0	
238	icon_alt_side_view_enemy_ship	alt	alt-parked	0	
239	icon_alt_slotted_metal_block	alt	alt-parked	0	
240	icon_alt_smooth_clear_shard	alt	alt-parked	0	
241	icon_alt_spiked_metal_rock	alt	alt-parked	0	
242	icon_alt_spiked_naval_mine	alt	alt-parked	0	
243	icon_alt_spiky_mineral_formation	alt	alt-parked	0	
244	icon_alt_split_end_bar	alt	alt-parked	0	
245	icon_alt_square_circuit_block	alt	alt-parked	0	
246	icon_alt_square_circuit_panel	alt	alt-parked	0	
247	icon_alt_square_metal_plate	alt	alt-parked	0	
248	icon_alt_square_notched_block	alt	alt-parked	0	
249	icon_alt_stacked_flat_stones	alt	alt-parked	0	
250	icon_alt_stacked_metal_plates	alt	alt-parked	0	
251	icon_alt_stacked_plate_layers	alt	alt-parked	0	
252	icon_alt_stepped_angled_bar	alt	alt-parked	0	
253	icon_alt_stepped_metal_block	alt	alt-parked	0	
254	icon_alt_striped_dark_mineral	alt	alt-parked	0	
255	icon_alt_tapered_metal_wedge	alt	alt-parked	0	
256	icon_alt_thick_arched_handle	alt	alt-parked	0	
257	icon_alt_thin_arched_handle	alt	alt-parked	0	
258	icon_alt_thin_sharp_shard	alt	alt-parked	0	
259	icon_alt_three_horizontal_bars	alt	alt-parked	0	
260	icon_alt_thruster_engine_block	alt	alt-parked	0	
261	icon_alt_thruster_exhaust	alt	alt-parked	0	
262	icon_alt_trapezoid_cup_module	alt	alt-parked	0	
263	icon_alt_trapezoid_vent_panel	alt	alt-parked	0	
264	icon_alt_u_channel_bar	alt	alt-parked	0	
265	icon_alt_vault_door	alt	alt-parked	0	
266	icon_alt_vented_power_block	alt	alt-parked	0	
267	icon_alt_vented_trapezoid_thruster	alt	alt-parked	0	
268	icon_alt_vertical_storage_containers	alt	alt-parked	0	
269	icon_alt_winged_tower_emitter	alt	alt-parked	0	
270	icon_alt_x_scored_block	alt	alt-parked	0	
271	ui_insignia_mic	ui_insignia	ui-emblem	0	
272	ui_insignia_mmo	ui_insignia	ui-emblem	0	
273	ui_insignia_neutral	ui_insignia	ui-emblem	0	
274	ui_insignia_ven	ui_insignia	ui-emblem	0	
