path	issue	family	current_name	role	kind	subject	detail	sheet	cell	of	grid	sheet_objects_in_reading_order
cut/fx_sheet_1x1_20260917_184216.png	placeholder	fx	fx_sheet_1x1_20260917_184216	sprite	gate	flaming ring gate	segmented metal ring glowing fire	raw/single-small-energy-ring-burnt-ember-c__20260917-184216.png	1	1	1x1	burnt ember energy ring
cut/fx_sheet_4x1_20260917_183223__p01.png	placeholder	fx	fx_sheet_4x1_20260917_183223__p01	sprite	fx	muzzle flash	orange sparks from barrel	raw/4-frame-horizontal-sprite-sheet-of-a-wea.png	1	4	4x1	pistol muzzle flash | pistol fire burst | pistol smoke burst | pistol smoke fade
cut/fx_sheet_4x1_20260917_183223__p02.png	placeholder	fx	fx_sheet_4x1_20260917_183223__p02	sprite	fx	muzzle flash	orange fiery blast sparks	raw/4-frame-horizontal-sprite-sheet-of-a-wea.png	2	4	4x1	pistol muzzle flash | pistol fire burst | pistol smoke burst | pistol smoke fade
cut/fx_sheet_4x1_20260917_183223__p03.png	placeholder	fx	fx_sheet_4x1_20260917_183223__p03	sprite	fx	muzzle flash	gun barrel fiery blast	raw/4-frame-horizontal-sprite-sheet-of-a-wea.png	3	4	4x1	pistol muzzle flash | pistol fire burst | pistol smoke burst | pistol smoke fade
cut/fx_sheet_4x1_20260917_183223__p04.png	placeholder	fx	fx_sheet_4x1_20260917_183223__p04	sprite	fx	exhaust thruster smoke	dark smoke and orange sparks	raw/4-frame-horizontal-sprite-sheet-of-a-wea.png	4	4	4x1	pistol muzzle flash | pistol fire burst | pistol smoke burst | pistol smoke fade
cut/icon_sheet_2x2_20260918_112946__p01.png	placeholder	icon	icon_sheet_2x2_20260918_112946__p01	sprite	prop	metal vault door	rusty riveted wheel hatch	raw/flat-vector-icon-sheet-2x2-grid-icons.png	1	4	2x2	vault door icon | shield icon | circle slash icon
cut/icon_sheet_2x2_20260918_112946__p02.png	placeholder	icon	icon_sheet_2x2_20260918_112946__p02	sprite	icon	metal shield icon	weathered dark metal shield	raw/flat-vector-icon-sheet-2x2-grid-icons.png	2	4	2x2	vault door icon | shield icon | circle slash icon
cut/icon_sheet_2x2_20260918_112946__p03.png	placeholder	icon	icon_sheet_2x2_20260918_112946__p03	sprite	icon	prohibition icon	weathered metal circular slash	raw/flat-vector-icon-sheet-2x2-grid-icons.png	3	4	2x2	vault door icon | shield icon | circle slash icon
cut/icon_sheet_2x2_20260918_112946__p04.png	placeholder	icon	icon_sheet_2x2_20260918_112946__p04	sprite	backdrop	starry night sky	dark blue starfield texture	raw/flat-vector-icon-sheet-2x2-grid-icons.png	4	4	2x2	vault door icon | shield icon | circle slash icon
cut/icon_sheet_2x2_20260918_113028__p01.png	placeholder	icon	icon_sheet_2x2_20260918_113028__p01	sprite	icon	metal hexagon icon	rusty metal slotted emblem	raw/p2_faction_insignia.png	1	4	2x2	three slat insignia | split hex insignia | flame leaf insignia
cut/icon_sheet_2x2_20260918_113028__p02.png	placeholder	icon	icon_sheet_2x2_20260918_113028__p02	sprite	icon	armor icon	hex plate orange vents	raw/p2_faction_insignia.png	2	4	2x2	three slat insignia | split hex insignia | flame leaf insignia
cut/icon_sheet_2x2_20260918_113028__p03.png	placeholder	icon	icon_sheet_2x2_20260918_113028__p03	sprite	logo	hexagonal metal emblem	rusty cutout flame symbol	raw/p2_faction_insignia.png	3	4	2x2	three slat insignia | split hex insignia | flame leaf insignia
cut/icon_sheet_2x2_20260918_113028__p04.png	placeholder	icon	icon_sheet_2x2_20260918_113028__p04	sprite	backdrop	star field nebula	dark blue starfield nebula	raw/p2_faction_insignia.png	4	4	2x2	three slat insignia | split hex insignia | flame leaf insignia
cut/icon_sheet_2x2_20260918_113357__p01.png	placeholder	icon	icon_sheet_2x2_20260918_113357__p01	sprite	icon	steering wheel icon	white wheel on black	raw/grimdark-painted-sci-fi-semi-realistic__20260918-113357.png	1	3	2x2	book manual icon | shield emblem icon | power button icon
cut/icon_sheet_2x2_20260918_113357__p02.png	placeholder	icon	icon_sheet_2x2_20260918_113357__p02	sprite	icon	shield icon	black shield white dot	raw/grimdark-painted-sci-fi-semi-realistic__20260918-113357.png	2	3	2x2	book manual icon | shield emblem icon | power button icon
cut/icon_sheet_2x2_20260918_113357__p03.png	placeholder	icon	icon_sheet_2x2_20260918_113357__p03	sprite	icon	power icon	power symbol black white	raw/grimdark-painted-sci-fi-semi-realistic__20260918-113357.png	3	3	2x2	book manual icon | shield emblem icon | power button icon
cut/icon_sheet_2x2_20260918_123214__p01.png	placeholder	icon	icon_sheet_2x2_20260918_123214__p01	sprite	icon	magnifier plus icon	black magnifying glass with cross	raw/grimdark-painted-sci-fi-semi-realistic__20260918-123214.png	1	4	2x2	plus magnifier icon | minus magnifier icon | hexagon vertical bar | shield divider icon
cut/icon_sheet_2x2_20260918_123214__p02.png	placeholder	icon	icon_sheet_2x2_20260918_123214__p02	sprite	icon	ui icon	black minus sign frame	raw/grimdark-painted-sci-fi-semi-realistic__20260918-123214.png	2	4	2x2	plus magnifier icon | minus magnifier icon | hexagon vertical bar | shield divider icon
cut/icon_sheet_2x2_20260918_123214__p03.png	placeholder	icon	icon_sheet_2x2_20260918_123214__p03	sprite	icon	hexagon icon	black hexagon with vertical bar	raw/grimdark-painted-sci-fi-semi-realistic__20260918-123214.png	3	4	2x2	plus magnifier icon | minus magnifier icon | hexagon vertical bar | shield divider icon
cut/icon_sheet_2x2_20260918_123214__p04.png	placeholder	icon	icon_sheet_2x2_20260918_123214__p04	sprite	icon	shield icon	black outlined shield emblem	raw/grimdark-painted-sci-fi-semi-realistic__20260918-123214.png	4	4	2x2	plus magnifier icon | minus magnifier icon | hexagon vertical bar | shield divider icon
cut/icon_sheet_2x3_20260917_183109__p01.png	placeholder	icon	icon_sheet_2x3_20260917_183109__p01	sprite	prop	scifi engine block	rusted metal glowing orange core	raw/flat-vector-icon-sheet-for-a-dark-sci-fi.png	1	6	2x3	glowing barrel weapon | angled pipe weapon | pointed rocket missile | spiked naval mine | ringed glowing device
cut/icon_sheet_2x3_20260917_183109__p02.png	placeholder	icon	icon_sheet_2x3_20260917_183109__p02	sprite	icon	scifi pistol	rusted blocky side profile	raw/flat-vector-icon-sheet-for-a-dark-sci-fi.png	2	6	2x3	glowing barrel weapon | angled pipe weapon | pointed rocket missile | spiked naval mine | ringed glowing device
cut/icon_sheet_2x3_20260917_183109__p03.png	placeholder	icon	icon_sheet_2x3_20260917_183109__p03	sprite	prop	rusted missile	weathered metal finned projectile	raw/flat-vector-icon-sheet-for-a-dark-sci-fi.png	3	6	2x3	glowing barrel weapon | angled pipe weapon | pointed rocket missile | spiked naval mine | ringed glowing device
cut/icon_sheet_2x3_20260917_183109__p04.png	placeholder	icon	icon_sheet_2x3_20260917_183109__p04	sprite	pickup	spiked bomb	rusted metal spiked sphere	raw/flat-vector-icon-sheet-for-a-dark-sci-fi.png	4	6	2x3	glowing barrel weapon | angled pipe weapon | pointed rocket missile | spiked naval mine | ringed glowing device
cut/icon_sheet_2x3_20260917_183109__p05.png	placeholder	icon	icon_sheet_2x3_20260917_183109__p05	sprite	prop	angular metal ring device	glowing orange vented side pods	raw/flat-vector-icon-sheet-for-a-dark-sci-fi.png	5	6	2x3	glowing barrel weapon | angled pipe weapon | pointed rocket missile | spiked naval mine | ringed glowing device
cut/icon_sheet_2x3_20260917_183109__p06.png	placeholder	icon	icon_sheet_2x3_20260917_183109__p06	sprite	backdrop	star field	faint stars on dark blue	raw/flat-vector-icon-sheet-for-a-dark-sci-fi.png	6	6	2x3	glowing barrel weapon | angled pipe weapon | pointed rocket missile | spiked naval mine | ringed glowing device
cut/icon_sheet_2x3_20260918_112903__p01.png	placeholder	icon	icon_sheet_2x3_20260918_112903__p01	sprite	icon	shopping cart	black cart with cross	raw/p2_contracts.png	1	5	2x3	cargo cart | target crosshair | hanging crate | download tray | upload arrow
cut/icon_sheet_2x3_20260918_112903__p02.png	placeholder	icon	icon_sheet_2x3_20260918_112903__p02	sprite	icon	target reticle icon	black crosshair with chevron	raw/p2_contracts.png	2	5	2x3	cargo cart | target crosshair | hanging crate | download tray | upload arrow
cut/icon_sheet_2x3_20260918_112903__p03.png	placeholder	icon	icon_sheet_2x3_20260918_112903__p03	sprite	prop	robotic claw arm	black robot claw holding cube	raw/p2_contracts.png	3	5	2x3	cargo cart | target crosshair | hanging crate | download tray | upload arrow
cut/icon_sheet_2x3_20260918_112903__p04.png	placeholder	icon	icon_sheet_2x3_20260918_112903__p04	sprite	icon	downward double chevron icon	black chevrons on white	raw/p2_contracts.png	4	5	2x3	cargo cart | target crosshair | hanging crate | download tray | upload arrow
cut/icon_sheet_2x3_20260918_112903__p05.png	placeholder	icon	icon_sheet_2x3_20260918_112903__p05	sprite	icon	circular arrow icon	black arrow arrowhead	raw/p2_contracts.png	5	5	2x3	cargo cart | target crosshair | hanging crate | download tray | upload arrow
cut/icon_sheet_3x3_20260918_110409__p01.png	placeholder	icon	icon_sheet_3x3_20260918_110409__p01	sprite	prop	twin cannon weapon	dual barrel scifi cannon	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110409.png	1	9	3x3	double barreled cannon | gripper claw device | thin arched handle | thick arched handle | glowing arched handle | square metal plate | riveted side panel | lattice patterned plate | glowing coil module
cut/icon_sheet_3x3_20260918_110409__p02.png	placeholder	icon	icon_sheet_3x3_20260918_110409__p02	sprite	prop	plasma cutter tool	industrial metal cutting clamp	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110409.png	2	9	3x3	double barreled cannon | gripper claw device | thin arched handle | thick arched handle | glowing arched handle | square metal plate | riveted side panel | lattice patterned plate | glowing coil module
cut/icon_sheet_3x3_20260918_110409__p03.png	placeholder	icon	icon_sheet_3x3_20260918_110409__p03	sprite	structure	metal archway	weathered metal arch glowing ends	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110409.png	3	9	3x3	double barreled cannon | gripper claw device | thin arched handle | thick arched handle | glowing arched handle | square metal plate | riveted side panel | lattice patterned plate | glowing coil module
cut/icon_sheet_3x3_20260918_110409__p04.png	placeholder	icon	icon_sheet_3x3_20260918_110409__p04	sprite	gate	metal arch gate	weathered segmented arch with glowing orange emitters	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110409.png	4	9	3x3	double barreled cannon | gripper claw device | thin arched handle | thick arched handle | glowing arched handle | square metal plate | riveted side panel | lattice patterned plate | glowing coil module
cut/icon_sheet_3x3_20260918_110409__p05.png	placeholder	icon	icon_sheet_3x3_20260918_110409__p05	sprite	gate	metal arch gate	glowing orange segmented arch	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110409.png	5	9	3x3	double barreled cannon | gripper claw device | thin arched handle | thick arched handle | glowing arched handle | square metal plate | riveted side panel | lattice patterned plate | glowing coil module
cut/icon_sheet_3x3_20260918_110409__p06.png	placeholder	icon	icon_sheet_3x3_20260918_110409__p06	sprite	tile	metal plate	rusted weathered riveted square panel	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110409.png	6	9	3x3	double barreled cannon | gripper claw device | thin arched handle | thick arched handle | glowing arched handle | square metal plate | riveted side panel | lattice patterned plate | glowing coil module
cut/icon_sheet_3x3_20260918_110409__p07.png	placeholder	icon	icon_sheet_3x3_20260918_110409__p07	sprite	ui_frame	metal ui panel	rusty riveted octagonal dark plate	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110409.png	7	9	3x3	double barreled cannon | gripper claw device | thin arched handle | thick arched handle | glowing arched handle | square metal plate | riveted side panel | lattice patterned plate | glowing coil module
cut/icon_sheet_3x3_20260918_110409__p08.png	placeholder	icon	icon_sheet_3x3_20260918_110409__p08	sprite	tile	metal grate panel	rusty diagonal lattice frame	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110409.png	8	9	3x3	double barreled cannon | gripper claw device | thin arched handle | thick arched handle | glowing arched handle | square metal plate | riveted side panel | lattice patterned plate | glowing coil module
cut/icon_sheet_3x3_20260918_110409__p09.png	placeholder	icon	icon_sheet_3x3_20260918_110409__p09	sprite	prop	power generator	three glowing orange coils	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110409.png	9	9	3x3	double barreled cannon | gripper claw device | thin arched handle | thick arched handle | glowing arched handle | square metal plate | riveted side panel | lattice patterned plate | glowing coil module
cut/icon_sheet_3x3_20260918_110458__p01.png	placeholder	icon	icon_sheet_3x3_20260918_110458__p01	sprite	prop	power cell battery	rusty metal glowing orange tubes	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110458.png	1	9	3x3	vented power block | octagonal armored plate | rusty cone lamp | double winged lamp | clawed cone lamp | chevron vent block | arrow direction plaque | crosshair targeting plaque | dish antenna device
cut/icon_sheet_3x3_20260918_110458__p02.png	placeholder	icon	icon_sheet_3x3_20260918_110458__p02	sprite	prop	rusty metal hatch	octagonal bolted armored cover	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110458.png	2	9	3x3	vented power block | octagonal armored plate | rusty cone lamp | double winged lamp | clawed cone lamp | chevron vent block | arrow direction plaque | crosshair targeting plaque | dish antenna device
cut/icon_sheet_3x3_20260918_110458__p03.png	placeholder	icon	icon_sheet_3x3_20260918_110458__p03	sprite	prop	metal thruster nozzle	rusty bell shaped exhaust cone	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110458.png	3	9	3x3	vented power block | octagonal armored plate | rusty cone lamp | double winged lamp | clawed cone lamp | chevron vent block | arrow direction plaque | crosshair targeting plaque | dish antenna device
cut/icon_sheet_3x3_20260918_110458__p04.png	placeholder	icon	icon_sheet_3x3_20260918_110458__p04	sprite	prop	thruster nozzle	rusty metal cone glowing orange	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110458.png	4	9	3x3	vented power block | octagonal armored plate | rusty cone lamp | double winged lamp | clawed cone lamp | chevron vent block | arrow direction plaque | crosshair targeting plaque | dish antenna device
cut/icon_sheet_3x3_20260918_110458__p05.png	placeholder	icon	icon_sheet_3x3_20260918_110458__p05	sprite	prop	industrial thruster nozzle	rusty cone with glowing vents	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110458.png	5	9	3x3	vented power block | octagonal armored plate | rusty cone lamp | double winged lamp | clawed cone lamp | chevron vent block | arrow direction plaque | crosshair targeting plaque | dish antenna device
cut/icon_sheet_3x3_20260918_110458__p06.png	placeholder	icon	icon_sheet_3x3_20260918_110458__p06	sprite	prop	metal furnace vent	rusted chevron glowing vents	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110458.png	6	9	3x3	vented power block | octagonal armored plate | rusty cone lamp | double winged lamp | clawed cone lamp | chevron vent block | arrow direction plaque | crosshair targeting plaque | dish antenna device
cut/icon_sheet_3x3_20260918_110458__p07.png	placeholder	icon	icon_sheet_3x3_20260918_110458__p07	sprite	icon	metal arrow icon	rusted square arrow plate	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110458.png	7	9	3x3	vented power block | octagonal armored plate | rusty cone lamp | double winged lamp | clawed cone lamp | chevron vent block | arrow direction plaque | crosshair targeting plaque | dish antenna device
cut/icon_sheet_3x3_20260918_110458__p08.png	placeholder	icon	icon_sheet_3x3_20260918_110458__p08	sprite	icon	crosshair icon	worn metal square plate	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110458.png	8	9	3x3	vented power block | octagonal armored plate | rusty cone lamp | double winged lamp | clawed cone lamp | chevron vent block | arrow direction plaque | crosshair targeting plaque | dish antenna device
cut/icon_sheet_3x3_20260918_110458__p09.png	placeholder	icon	icon_sheet_3x3_20260918_110458__p09	sprite	prop	satellite dish	weathered metal dish emitter	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110458.png	9	9	3x3	vented power block | octagonal armored plate | rusty cone lamp | double winged lamp | clawed cone lamp | chevron vent block | arrow direction plaque | crosshair targeting plaque | dish antenna device
cut/icon_sheet_3x3_20260918_110547__p01.png	placeholder	icon	icon_sheet_3x3_20260918_110547__p01	sprite	ui_frame	targeting reticle panels	two square metal target frames	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110547.png	1	9	3x3	sensor targeting modules | thruster engine block | armored node panel | open metal crate | robotic claw arm | hopper funnel unit | hangar fighter bay | exhaust thruster nozzle | vertical storage containers
cut/icon_sheet_3x3_20260918_110547__p02.png	placeholder	icon	icon_sheet_3x3_20260918_110547__p02	sprite	ship	spaceship engines	rusty panel triple thrusters	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110547.png	2	9	3x3	sensor targeting modules | thruster engine block | armored node panel | open metal crate | robotic claw arm | hopper funnel unit | hangar fighter bay | exhaust thruster nozzle | vertical storage containers
cut/icon_sheet_3x3_20260918_110547__p03.png	placeholder	icon	icon_sheet_3x3_20260918_110547__p03	sprite	tile	metal wall panel	rusty panel with glowing orange nodes	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110547.png	3	9	3x3	sensor targeting modules | thruster engine block | armored node panel | open metal crate | robotic claw arm | hopper funnel unit | hangar fighter bay | exhaust thruster nozzle | vertical storage containers
cut/icon_sheet_3x3_20260918_110547__p04.png	placeholder	icon	icon_sheet_3x3_20260918_110547__p04	sprite	prop	open metal chest	rusted reinforced lid open	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110547.png	4	9	3x3	sensor targeting modules | thruster engine block | armored node panel | open metal crate | robotic claw arm | hopper funnel unit | hangar fighter bay | exhaust thruster nozzle | vertical storage containers
cut/icon_sheet_3x3_20260918_110547__p05.png	placeholder	icon	icon_sheet_3x3_20260918_110547__p05	sprite	prop	robot claw	rusty mechanical gripping claw	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110547.png	5	9	3x3	sensor targeting modules | thruster engine block | armored node panel | open metal crate | robotic claw arm | hopper funnel unit | hangar fighter bay | exhaust thruster nozzle | vertical storage containers
cut/icon_sheet_3x3_20260918_110547__p06.png	placeholder	icon	icon_sheet_3x3_20260918_110547__p06	sprite	structure	industrial hopper machine	rusty metal funnel with glowing pipe	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110547.png	6	9	3x3	sensor targeting modules | thruster engine block | armored node panel | open metal crate | robotic claw arm | hopper funnel unit | hangar fighter bay | exhaust thruster nozzle | vertical storage containers
cut/icon_sheet_3x3_20260918_110547__p07.png	placeholder	icon	icon_sheet_3x3_20260918_110547__p07	sprite	ship	sci-fi fighter ships	twin fighters in metal frame	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110547.png	7	9	3x3	sensor targeting modules | thruster engine block | armored node panel | open metal crate | robotic claw arm | hopper funnel unit | hangar fighter bay | exhaust thruster nozzle | vertical storage containers
cut/icon_sheet_3x3_20260918_110547__p08.png	placeholder	icon	icon_sheet_3x3_20260918_110547__p08	sprite	prop	engine thruster	weathered metal orange exhaust	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110547.png	8	9	3x3	sensor targeting modules | thruster engine block | armored node panel | open metal crate | robotic claw arm | hopper funnel unit | hangar fighter bay | exhaust thruster nozzle | vertical storage containers
cut/icon_sheet_3x3_20260918_110547__p09.png	placeholder	icon	icon_sheet_3x3_20260918_110547__p09	sprite	prop	armored cargo containers	rusted dark metal twin crates	raw/flat-vector-icon-sheet-3x3-grid-icons__20260918-110547.png	9	9	3x3	sensor targeting modules | thruster engine block | armored node panel | open metal crate | robotic claw arm | hopper funnel unit | hangar fighter bay | exhaust thruster nozzle | vertical storage containers
cut/icon_sheet_3x3_20260918_111327__p01.png	placeholder	icon	icon_sheet_3x3_20260918_111327__p01	sprite	icon	pixel gun icon	black silhouette side profile	raw/grimdark-painted-sci-fi-semi-realistic__20260918-111327.png	1	9	3x3	engine nozzle connector | gripper arm device | simple arch handle | double arch handle | small ribbed arch | rounded rectangular panel | long dotted vent panel | diagonal cross hatch panel | vertical grilled radiator block
cut/icon_sheet_3x3_20260918_111327__p02.png	placeholder	icon	icon_sheet_3x3_20260918_111327__p02	sprite	ship	spaceship silhouette	long horizontal black silhouette	raw/grimdark-painted-sci-fi-semi-realistic__20260918-111327.png	2	9	3x3	engine nozzle connector | gripper arm device | simple arch handle | double arch handle | small ribbed arch | rounded rectangular panel | long dotted vent panel | diagonal cross hatch panel | vertical grilled radiator block
cut/icon_sheet_3x3_20260918_111327__p03.png	placeholder	icon	icon_sheet_3x3_20260918_111327__p03	sprite	gate	arch gate	black arch square feet	raw/grimdark-painted-sci-fi-semi-realistic__20260918-111327.png	3	9	3x3	engine nozzle connector | gripper arm device | simple arch handle | double arch handle | small ribbed arch | rounded rectangular panel | long dotted vent panel | diagonal cross hatch panel | vertical grilled radiator block
cut/icon_sheet_3x3_20260918_111327__p04.png	placeholder	icon	icon_sheet_3x3_20260918_111327__p04	sprite	gate	arched gate frame	black arch with blocks	raw/grimdark-painted-sci-fi-semi-realistic__20260918-111327.png	4	9	3x3	engine nozzle connector | gripper arm device | simple arch handle | double arch handle | small ribbed arch | rounded rectangular panel | long dotted vent panel | diagonal cross hatch panel | vertical grilled radiator block
cut/icon_sheet_3x3_20260918_111327__p05.png	placeholder	icon	icon_sheet_3x3_20260918_111327__p05	sprite	gate	black arch gate	black arch with square bases	raw/grimdark-painted-sci-fi-semi-realistic__20260918-111327.png	5	9	3x3	engine nozzle connector | gripper arm device | simple arch handle | double arch handle | small ribbed arch | rounded rectangular panel | long dotted vent panel | diagonal cross hatch panel | vertical grilled radiator block
